 format: day,hour,value location:60_127 Start : 20230101 
 36, 0001, 2.600000 
 36, 0002, 5.000000 
 36, 0003, 6.400000 
 36, 0004, 6.500000 
 36, 0005, 7.000000 
 36, 0006, 6.600000 
 36, 0007, 5.900000 
 36, 0008, 4.500000 
 36, 0009, 3.600000 
 36, 0010, 3.100000 
 36, 0011, 2.500000 
 36, 0012, 1.800000 
 36, 0013, 1.400000 
 36, 0014, 1.000000 
 36, 0015, 0.300000 
 36, 0016, 0.000000 
 36, 0017, -0.500000 
 36, 0018, -0.700000 
 36, 0019, -1.100000 
 36, 0020, -1.400000 
 36, 0021, -1.600000 
 36, 0022, -1.400000 
 36, 0023, 0.300000 
 37, 0000, 2.400000 
 37, 0001, 4.600000 
 37, 0002, 6.500000 
 37, 0003, 7.700000 
 37, 0004, 8.400000 
 37, 0005, 8.700000 
 37, 0006, 8.200000 
 37, 0007, 7.500000 
 37, 0008, 6.200000 
 37, 0009, 5.200000 
 37, 0010, 4.100000 
 37, 0011, 3.300000 
 37, 0012, 2.300000 
 37, 0013, 1.700000 
 37, 0014, 1.200000 
 37, 0015, 0.900000 
 37, 0016, 0.400000 
 37, 0017, 0.100000 
 37, 0018, 0.100000 
 37, 0019, -0.200000 
 37, 0020, -0.300000 
 37, 0021, -0.400000 
 37, 0022, -0.300000 
 37, 0023, 0.800000 
 38, 0000, 3.300000 
 38, 0001, 5.100000 
 38, 0002, 6.800000 
 38, 0003, 7.400000 
 38, 0004, 8.300000 
 38, 0005, 9.000000 
 38, 0006, 9.200000 
 38, 0007, 8.000000 
 38, 0008, 6.100000 
 38, 0009, 4.900000 
 38, 0010, 4.400000 
 38, 0011, 3.500000 
 38, 0012, 2.900000 
 38, 0013, 2.100000 
 38, 0014, 1.700000 
 38, 0015, 1.300000 
 38, 0016, 0.800000 
 38, 0017, 0.200000 
 38, 0018, 0.000000 
 38, 0019, -0.800000 
 38, 0020, -1.000000 
 38, 0021, -1.100000 
 38, 0022, -0.900000 
 38, 0023, 0.100000 
 39, 0000, 1.700000 
 39, 0001, 3.100000 
 39, 0002, 5.100000 
 39, 0003, 5.500000 
 39, 0004, 7.400000 
 39, 0005, 7.600000 
 39, 0006, 7.200000 
 39, 0007, 6.200000 
 39, 0008, 4.200000 
 39, 0009, 2.900000 
 39, 0010, 2.100000 
 39, 0011, 1.800000 
 39, 0012, 1.100000 
 39, 0013, 0.200000 
 39, 0014, -0.500000 
 39, 0015, -1.300000 
 39, 0016, -1.700000 
 39, 0017, -2.200000 
 39, 0018, -2.100000 
 39, 0019, -2.700000 
 39, 0020, -2.700000 
 39, 0021, -2.200000 
 39, 0022, -1.500000 
 39, 0023, 0.400000 
 40, 0000, 3.100000 
 40, 0001, 2.000000 
 40, 0002, 4.600000 
 40, 0003, 5.200000 
 40, 0004, 6.100000 
 40, 0005, 7.600000 
 40, 0006, 7.600000 
 40, 0007, 7.100000 
 40, 0008, 6.900000 
 40, 0009, 6.200000 
 40, 0010, 6.100000 
 40, 0011, 5.300000 
 40, 0012, 6.400000 
 40, 0013, 6.100000 
 40, 0014, 5.500000 
 40, 0015, 4.700000 
 40, 0016, 4.300000 
 40, 0017, 4.200000 
 40, 0018, 3.800000 
 40, 0019, 3.400000 
 40, 0020, 3.100000 
 40, 0021, 3.000000 
 40, 0022, 2.800000 
 40, 0023, 3.100000 
 41, 0000, 3.900000 
 41, 0001, 4.100000 
 41, 0002, 5.600000 
 41, 0003, 5.400000 
 41, 0004, 4.300000 
 41, 0005, 3.000000 
 41, 0006, 4.200000 
 41, 0007, 5.800000 
 41, 0008, 4.700000 
 41, 0009, 3.900000 
 41, 0010, 2.900000 
 41, 0011, 2.500000 
 41, 0012, 2.400000 
 41, 0013, 1.700000 
 41, 0014, 1.000000 
 41, 0015, 0.200000 
 41, 0016, -0.200000 
 41, 0017, -0.600000 
 41, 0018, -0.400000 
 41, 0019, -0.900000 
 41, 0020, -0.700000 
 41, 0021, -1.000000 
 41, 0022, -1.000000 
 41, 0023, 0.000000 
 42, 0000, 2.200000 
 42, 0001, 4.200000 
 42, 0002, 5.100000 
 42, 0003, 6.700000 
 42, 0004, 8.500000 
 42, 0005, 8.100000 
 42, 0006, 8.200000 
